File Name,Column Name,Column Order,Data Type,Missing Count,Missing Percentage,Total Rows
TB_BACKGROUND_ATTRIBUTE_data.csv,COLOR,1,object,0,0.00%,0
TB_BACKGROUND_ATTRIBUTE_data.csv,IMAGES,2,object,0,0.00%,0
TB_BACKGROUND_ATTRIBUTE_data.csv,IMAGES_SIZE,3,object,0,0.00%,0
TB_BACKGROUND_ATTRIBUTE_data.csv,IMAGE_NAME,4,object,0,0.00%,0
TB_BACKGROUND_ATTRIBUTE_data.csv,IMAGE_EXT,5,object,0,0.00%,0
TB_BACKGROUND_ATTRIBUTE_data.csv,IMAGE_TOP,6,object,0,0.00%,0
TB_BACKGROUND_ATTRIBUTE_data.csv,IMAGE_BOTTOM,7,object,0,0.00%,0
TB_BACKGROUND_ATTRIBUTE_data.csv,IMAGE_LEFT,8,object,0,0.00%,0
TB_BACKGROUND_ATTRIBUTE_data.csv,IMAGE_RIGHT,9,object,0,0.00%,0
TB_COMPRESSOR_data.csv,COMP_ID,1,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,NAME,2,object,0,0.00%,3
TB_COMPRESSOR_data.csv,CODE,3,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,DESCRIPTION,4,float64,3,100.00%,3
TB_COMPRESSOR_data.csv,STATION_ID,5,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,OPERATION_MODE,6,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,MAX_PRESS_RATE,7,float64,0,0.00%,3
TB_COMPRESSOR_data.csv,MIN_FLOW,8,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,MAX_FLOW,9,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,MIN_INCOME_PRESS,10,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,MAX_COMP_PRESS,11,float64,0,0.00%,3
TB_COMPRESSOR_data.csv,SET_FLOW,12,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,SET_PRESS,13,float64,0,0.00%,3
TB_COMPRESSOR_data.csv,TEMP_ENTRY,14,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,MIN_POWER,15,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,MAX_POWER,16,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,IN_NODE_ID,17,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,OUT_NODE_ID,18,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,INPUT_PRESS,19,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,OUTPUT_PRESS,20,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,EFFICIENCY,21,float64,0,0.00%,3
TB_COMPRESSOR_data.csv,UTILIZATION,22,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,IS_USE,23,int64,0,0.00%,3
TB_COMPRESSOR_data.csv,IS_REPORT,24,object,0,0.00%,3
TB_COMPRESSURE_PROFILE_data.csv,PROFILE_ID,1,object,0,0.00%,0
TB_COMPRESSURE_PROFILE_data.csv,NODE_ID,2,object,0,0.00%,0
TB_COMPRESSURE_PROFILE_data.csv,PROFILE_NAME,3,object,0,0.00%,0
TB_COMPRESSURE_PROFILE_data.csv,ANALYZE_TYPE,4,object,0,0.00%,0
TB_COMPRESSURE_PROFILE_data.csv,CALC_TYPE,5,object,0,0.00%,0
TB_COMPRESSURE_PROFILE_data.csv,TIME_INTERVAL,6,object,0,0.00%,0
TB_COMPRESSURE_PROFILE_data.csv,SELECTED,7,object,0,0.00%,0
TB_COMPRESSURE_PROFILE_ITEM_data.csv,PROFILE_ID,1,object,0,0.00%,0
TB_COMPRESSURE_PROFILE_ITEM_data.csv,NODE_ID,2,object,0,0.00%,0
TB_COMPRESSURE_PROFILE_ITEM_data.csv,ITEM_INDEX,3,object,0,0.00%,0
TB_COMPRESSURE_PROFILE_ITEM_data.csv,START_TIME,4,object,0,0.00%,0
TB_COMPRESSURE_PROFILE_ITEM_data.csv,END_TIME,5,object,0,0.00%,0
TB_COMPRESSURE_PROFILE_ITEM_data.csv,VALUE,6,object,0,0.00%,0
TB_FACILITY_LAYER_data.csv,TYPE_ID,1,int64,0,0.00%,5
TB_FACILITY_LAYER_data.csv,LINE_COLOR,2,float64,0,0.00%,5
TB_FACILITY_LAYER_data.csv,LINE_THICKNESS,3,float64,0,0.00%,5
TB_FACILITY_LAYER_data.csv,FONT_COLOR,4,float64,0,0.00%,5
TB_FACILITY_LAYER_data.csv,FONT_SIZE,5,int64,0,0.00%,5
TB_FACILITY_LAYER_data.csv,VISIBLE,6,int64,0,0.00%,5
TB_FACILITY_LAYER_data.csv,SELECT,7,int64,0,0.00%,5
TB_HEAT_PROFILE_data.csv,PROFILE_ID,1,object,0,0.00%,0
TB_HEAT_PROFILE_data.csv,NODE_ID,2,object,0,0.00%,0
TB_HEAT_PROFILE_data.csv,PROFILE_NAME,3,object,0,0.00%,0
TB_HEAT_PROFILE_data.csv,CALC_TYPE,4,object,0,0.00%,0
TB_HEAT_PROFILE_data.csv,TIME_INTERVAL,5,object,0,0.00%,0
TB_HEAT_PROFILE_data.csv,SELECTED,6,object,0,0.00%,0
TB_HEAT_PROFILE_ITEM_data.csv,PROFILE_ID,1,object,0,0.00%,0
TB_HEAT_PROFILE_ITEM_data.csv,NODE_ID,2,object,0,0.00%,0
TB_HEAT_PROFILE_ITEM_data.csv,ITEM_INDEX,3,object,0,0.00%,0
TB_HEAT_PROFILE_ITEM_data.csv,START_TIME,4,object,0,0.00%,0
TB_HEAT_PROFILE_ITEM_data.csv,END_TIME,5,object,0,0.00%,0
TB_HEAT_PROFILE_ITEM_data.csv,VALUE,6,object,0,0.00%,0
TB_LAYER_data.csv,LINE_COLOR,1,object,0,0.00%,0
TB_LAYER_data.csv,FONT_COLOR,2,object,0,0.00%,0
TB_LAYER_data.csv,LINE_THICKNESS,3,object,0,0.00%,0
TB_LAYER_data.csv,FONT_SIZE,4,object,0,0.00%,0
TB_LEGEND_data.csv,ID,1,int64,0,0.00%,28
TB_LEGEND_data.csv,TYPE,2,int64,0,0.00%,28
TB_LEGEND_data.csv,NAME,3,float64,28,100.00%,28
TB_LEGEND_data.csv,START_VALUE,4,float64,0,0.00%,28
TB_LEGEND_data.csv,EDN_VALUE,5,float64,0,0.00%,28
TB_LEGEND_data.csv,COLOR,6,float64,0,0.00%,28
TB_MAP_data.csv,MAP_ID,1,int64,0,0.00%,2879
TB_MAP_data.csv,MAP_NAME,2,int64,0,0.00%,2879
TB_MAP_data.csv,MAP_TYPE,3,int64,0,0.00%,2879
TB_MAP_data.csv,DISPLAY_YN,4,float64,1288,44.74%,2879
TB_MAP_data.csv,END_NODE_ID,5,int64,0,0.00%,2879
TB_MAP_data.csv,FROM_NODE_ID,6,int64,0,0.00%,2879
TB_MAP_data.csv,DISPLAY_NAME_YN,7,float64,2879,100.00%,2879
TB_MAP_data.csv,DISPLAY_X,8,float64,0,0.00%,2879
TB_MAP_data.csv,DISPLAY_Y,9,float64,0,0.00%,2879
TB_MAP_data.csv,DISPLAY_COLOR,10,int64,0,0.00%,2879
TB_MAP_data.csv,DISPLAY_NAME_SIZE,11,float64,0,0.00%,2879
TB_MAP_data.csv,DISPLAY_NAME_COLOR,12,float64,0,0.00%,2879
TB_MAP_data.csv,DISPLAY_SYMBOL_SIZE,13,float64,0,0.00%,2879
TB_MAP_data.csv,DISPLAY_POINT,14,int64,0,0.00%,2879
TB_MAP_data.csv,DISPLAY_THICK,15,float64,0,0.00%,2879
TB_MAP_data.csv,SCENARIO_ID,16,int64,0,0.00%,2879
TB_MAP_data.csv,GROUP_CHECK,17,int64,0,0.00%,2879
TB_MAP_data.csv,GROUP_ID,18,int64,0,0.00%,2879
TB_MAP_LINE_POINTS_data.csv,MAP_ID,1,int64,0,0.00%,16294
TB_MAP_LINE_POINTS_data.csv,MAP_NAME,2,float64,16294,100.00%,16294
TB_MAP_LINE_POINTS_data.csv,MAP_TYPE,3,int64,0,0.00%,16294
TB_MAP_LINE_POINTS_data.csv,START_X,4,float64,0,0.00%,16294
TB_MAP_LINE_POINTS_data.csv,START_Y,5,float64,0,0.00%,16294
TB_MAP_LINE_POINTS_data.csv,END_X FLOAT,6,int64,0,0.00%,16294
